Index, Heap Del,  LL Del,    STL Del
1,0.000004,0.000001,0.000006
2,0.000003,0.000001,0.000005
3,0.000004,0.000001,0.000006
4,0.000003,0.000001,0.000005
5,0.000003,0.000001,0.000005
6,0.000003,0.000001,0.000005
7,0.000002,0.000001,0.000005
8,0.000004,0.000001,0.000004
9,0.000003,0.000001,0.000005
10,0.000003,0.000001,0.000005
11,0.000003,0.000001,0.000005
12,0.000003,0.000001,0.000004
13,0.000003,0.000001,0.000004
14,0.000003,0.000001,0.000005
15,0.000003,0.000001,0.000005
16,0.000003,0.000001,0.000004
17,0.000003,0.000001,0.000005
18,0.000003,0.000001,0.000004
19,0.000003,0.000001,0.000004
20,0.000003,0.000001,0.000005
21,0.000003,0.000001,0.000005
22,0.000003,0.000001,0.000005
23,0.000003,0.000001,0.000005
24,0.000003,0.000001,0.000005
25,0.000003,0.000001,0.000004
26,0.000003,0.000001,0.000005
27,0.000003,0.000001,0.000004
28,0.000003,0.000001,0.000005
29,0.000002,0.000001,0.000004
30,0.000003,0.000001,0.000004
31,0.000003,0.000001,0.000004
32,0.000003,0.000001,0.000004
33,0.000003,0.000001,0.000004
34,0.000003,0.000001,0.000005
35,0.000003,0.000001,0.000004
36,0.000004,0.000001,0.000004
37,0.000003,0.000001,0.000004
38,0.000003,0.000001,0.000004
39,0.000003,0.000001,0.000004
40,0.000003,0.000001,0.000004
41,0.000003,0.000001,0.000004
42,0.000003,0.000001,0.000004
43,0.000003,0.000001,0.000005
44,0.000002,0.000001,0.000005
45,0.000003,0.000001,0.000005
46,0.000003,0.000001,0.000005
47,0.000002,0.000001,0.000004
48,0.000003,0.000001,0.000004
49,0.000003,0.000001,0.000005
50,0.000003,0.000001,0.000005
51,0.000002,0.000001,0.000004
52,0.000003,0.000001,0.000005
53,0.000003,0.000001,0.000004
54,0.000003,0.000001,0.000005
55,0.000003,0.000001,0.000005
56,0.000003,0.000001,0.000004
57,0.000002,0.000001,0.000004
58,0.000004,0.000001,0.000005
59,0.000003,0.000001,0.000004
